Lunation Number,Date of occurrence,Day of Month,Time of occurrence,Time Difference,Angle of Rays,Eclipse Type 1,Gamma,Magnitude 1,Latitude,Longitude,Eclipse Duration (m)
LN-48030,2020-10,11,17:21:36,43674,16,P,0.7849,1.44,2N,80W,315.53925000000004
LN-48025,2025-03,8,01:03:56,43664,-17,N,1.2748,0.4978,12N,171E,188.67165
LN-48024,2025-04,6,09:14:50,43662,21,N,-1.2868,0.4823,1S,44E,190.22639999999998
LN-48019,2020-09,1,02:56:47,43653,-12,N,-1.4689,0.2095,16S,139E,145.8642
LN-48018,2020-09,30,21:01:40,43651,26,N,1.5258,0.1044,2S,135W,102.9531
LN-48013,2023-02,25,17:44:55,43641,-7,P,0.5631,1.8017,15N,79W,307.86915
LN-48007,2022-08,21,03:17:11,43630,-2,P,-0.7455,1.5243,19S,134E,335.44005
LN-48001,2020-02,15,08:43:08,43618,3,T-,-0.1543,2.5713,18N,56E,344.8722
LN-47995,2023-08,10,09:45:33,43607,8,T+,0.0177,2.8309,21S,36E,354.92625
LN-47989,2024-02,4,17:41:24,43596,13,P,-0.9239,1.1892,20N,79W,301.65015000000005
LN-47983,2022-07,29,23:12:52,43584,18,P,0.7374,1.4853,22S,167W,293.56545000000006
LN-47978,2025-12,25,00:58:50,43575,-15,N,1.3465,0.43799999999999994,25N,168E,206.70675
LN-47972,2020-06,20,08:27:21,43563,-10,N,-1.0972,0.8229,24S,52E,236.0397
LN-47971,2023-07,19,15:57:40,43561,28,N,1.4295,0.2098,22S,59W,124.61595
LN-47966,2020-12,14,02:26:55,43552,-5,P,0.6295,1.7353,23N,144E,342.3846
LN-47960,2020-06,9,21:39:41,43540,0,T,-0.3719,2.1775,21S,146W,346.5306
LN-47954,2024-12,3,10:57:29,43529,5,T-,-0.0903,2.6964,20N,16E,346.63425
LN-47948,2023-05,30,03:54:06,43517,10,T,0.4136,2.1259,18S,120E,367.36424999999997
LN-47942,2021-11,23,01:08:26,43506,15,P,-0.7508,1.4671,16N,162E,290.45595000000003
LN-47936,2023-05,18,04:50:52,43495,20,N,1.1826,0.7217,14S,107E,256.25145
LN-47931,2020-10,13,04:52:46,43485,-13,N,1.3169,0.4435,3N,106E,185.0439
LN-47930,2022-11,11,16:39:15,43483,25,N,-1.4107,0.2615,12N,70W,140.6817
LN-47925,2023-04,7,20:09:37,43474,-8,P,-0.8219,1.3545,1S,120W,304.8633
LN-47919,2021-10,2,13:52:31,43462,-3,P,0.6738,1.6514,2S,28W,336.1656
LN-47913,2022-03,28,08:52:26,43451,2,T-,-0.0358,2.7728,4N,51E,336.1656
LN-47907,2020-09,21,15:46:41,43439,7,T-,-0.0177,2.8742,7S,56W,390.78915000000006
LN-47901,2024-03,18,01:31:20,43428,12,P,0.6873,1.5699,8N,162E,294.60195
LN-47895,2022-09,10,15:15:52,43417,17,P,-0.7113,1.595,12S,47W,344.6649
LN-47890,2023-02,6,07:04:40,43407,-16,N,-1.2308,0.6053,19N,79E,217.58999999999997
LN-47889,2024-03,6,17:30:33,43405,22,N,1.4319,0.2186,13N,77W,131.04225
LN-47884,2023-07,31,08:09:25,43396,-11,N,1.3427,0.3902,21S,58E,175.40445
LN-47883,2022-08,29,19:47:20,43394,27,N,-1.3779,0.3447,16S,115W,171.7767
LN-47878,2020-01,25,13:48:29,43384,-6,P,-0.5493,1.8853,22N,22W,356.2737
LN-47872,2023-07,20,23:04:45,43373,-1,P,0.5822,1.7653,23S,166W,306.21075
LN-47866,2024-01,14,14:08:08,43361,4,T+,0.1543,2.6239,24N,28W,390.16724999999997
LN-47860,2024-07,10,15:58:39,43350,9,T-,-0.1398,2.5782,24S,60W,331.08675
LN-47854,2021-01,3,14:39:46,43339,14,P,0.8416,1.3503,25N,38W,320.4108
LN-47848,2025-06,30,06:11:04,43327,19,P,-0.9149,1.1765,24S,86E,284.3406
LN-47843,2020-11,24,09:10:50,43318,-14,N,-1.2825,0.502,16N,41E,193.23225
LN-47842,2021-12,23,21:37:30,43316,24,N,1.4782,0.1548,25N,144W,114.3546
LN-47837,2022-05,20,00:04:59,43306,-9,N,1.0499,0.9625,15S,177E,287.0355
LN-47831,2020-11,13,00:13:00,43295,-4,P,-0.6014,1.7403,13N,175E,305.27790000000005
LN-47825,2020-05,9,00:43:26,43283,1,T,0.2887,2.3594,12S,168E,378.55845
LN-47819,2023-11,2,15:14:41,43272,6,T+,0.061,2.7436,10N,50W,341.03715000000005
LN-47813,2023-04,28,05:02:45,43261,11,P,-0.4893,1.9696,8S,104E,345.80505
LN-47807,2025-10,23,01:41:56,43249,16,P,0.7822,1.4475,6N,153E,317.40495
LN-47802,2024-03,19,08:44:44,43240,-17,N,1.328,0.39799999999999996,9N,53E,169.80734999999999
LN-47801,2021-04,17,16:32:08,43238,21,N,-1.2138,0.6141,5S,68W,211.06005
LN-47796,2020-09,12,10:23:19,43228,-12,N,-1.4991,0.156,12S,25E,126.58529999999999
LN-47795,2024-10,12,04:55:09,43226,26,N,1.5164,0.1237,2N,105E,112.17795
LN-47790,2022-03,8,01:36:56,43217,-7,P,0.614,1.7074,12N,160E,303.51585
LN-47784,2020-08,31,10:45:24,43206,-2,P,-0.7811,1.4596,15S,20E,329.9466
LN-47778,2022-02,25,16:29:24,43194,3,T-,-0.1098,2.6529,15N,63W,346.7379
LN-47772,2020-08,20,17:31:26,43183,8,T-,-0.0229,2.8212,18S,82W,353.68245
LN-47766,2024-02,15,01:10:16,43171,13,P,-0.8853,1.2598,17N,167E,309.0093
LN-47760,2023-08,10,07:08:20,43160,18,P,0.6905,1.5719,20S,73E,298.33335
LN-47755,2020-01,5,08:44:19,43151,-15,N,1.3613,0.409,25N,51E,199.96949999999998
LN-47749,2021-07,1,15:52:55,43139,-10,N,-1.1657,0.6992,25S,60W,221.01045
LN-47748,2023-07,30,23:46:14,43137,28,N,1.3801,0.3022,21S,177W,148.5591
LN-47743,2021-12,25,10:37:35,43128,-5,P,0.6352,1.7224,24N,21E,340.20795
LN-47737,2020-06,20,04:37:27,43116,0,T,-0.4486,2.0394,23S,108E,343.52475
LN-47731,2023-12,13,19:36:06,43105,5,T-,-0.0887,2.6973,22N,115W,345.39045
LN-47725,2025-06,9,10:19:36,43094,10,T,0.32899999999999996,2.2828,20S,22E,373.58325
LN-47719,2023-12,3,10:00:51,43082,15,P,-0.7507,1.4667,19N,28E,290.145
LN-47713,2023-05,29,11:07:47,43071,20,N,1.0952,0.8818,17S,10E,278.43255
LN-47708,2021-10,24,13:29:07,43062,-13,N,1.3233,0.434,7N,25W,183.90375
LN-47707,2021-11,23,01:28:40,43060,25,N,-1.4143,0.2556,15N,156E,139.54154999999997
LN-47702,2025-04,19,03:08:59,43050,-8,P,-0.8916,1.2238,5S,132E,292.63259999999997
LN-47696,2021-10,13,22:01:10,43039,-3,P,0.6843,1.6348,2N,152W,336.47655
LN-47690,2020-04,7,16:19:37,43027,2,T-,-0.1016,2.6498,1S,64W,334.2999
LN-47684,2023-10,1,23:29:24,43016,7,T+,0.0003,2.9081,3S,174W,391.61834999999996
LN-47678,2021-03,28,09:10:38,43005,12,P,0.6272,1.6793,4N,44E,300.61365
LN-47672,2023-09,20,22:57:00,42993,17,P,-0.687,1.6402,8S,165W,347.04885
LN-47667,2021-02,16,14:50:56,42984,-16,N,-1.2738,0.5265,16N,39W,205.25565
LN-47666,2020-03,18,01:05:07,42982,22,N,1.3815,0.3111,9N,167E,155.50365
LN-47661,2023-08,11,15:54:40,42973,-11,N,1.3817,0.3185,19S,59W,159.02775
LN-47660,2023-09,10,03:44:40,42971,27,N,-1.3479,0.3999,13S,124E,183.48915
LN-47655,2025-02,5,21:18:28,42961,-6,P,-0.5862,1.8173,20N,136W,353.5788
LN-47649,2023-08,1,06:55:16,42950,-1,P,0.6323,1.6743,22S,75E,301.54650000000004
LN-47643,2024-01,25,21:35:43,42938,4,T+,0.1243,2.6772,22N,141W,390.27090000000004
LN-47637,2024-07,20,23:38:26,42927,9,T-,-0.08199999999999999,2.6863,24S,176W,332.95245
LN-47631,2020-01,13,22:31:01,42916,14,P,0.8202,1.3866,24N,156W,322.0692
LN-47625,2024-07,10,13:23:39,42904,19,P,-0.8517,1.2955,25S,24W,295.9494
LN-47620,2021-12,4,17:56:56,42895,-14,N,-1.2796,0.5058,19N,91W,193.23225
LN-47619,2025-01,3,06:00:58,42893,24,N,1.4638,0.1784,25N,90E,121.92105
LN-47614,2022-05,31,06:23:46,42884,-9,N,1.1386,0.8008,18S,80E,266.7201
LN-47608,2021-11,24,09:07:10,42872,-4,P,-0.6011,1.7407,17N,40E,305.27790000000005
LN-47602,2021-05,20,07:03:18,42861,1,T,0.3769,2.1966,15S,71E,373.065
LN-47596,2024-11,14,00:01:20,42850,6,T+,0.0623,2.7426,14N,176E,342.07365000000004
LN-47590,2024-05,8,11:49:34,42838,11,T,-0.4066,2.1192,12S,1W,349.8474
LN-47584,2021-11,2,10:05:23,42827,16,P,0.7827,1.4488,11N,25E,318.7524
LN-47579,2025-03,29,16:20:41,42817,-17,N,1.3856,0.2903,4N,64W,146.17514999999997
LN-47578,2021-04,27,23:47:34,42816,21,N,-1.1383,0.7506,9S,180W,229.4061
LN-47573,2022-09,22,17:58:01,42806,-12,N,-1.5230000000000001,0.1137,8S,90W,108.65385
LN-47572,2024-10,22,12:52:58,42804,26,N,1.5102,0.1368,7N,17W,118.08599999999998
LN-47567,2021-03,19,09:21:02,42795,-7,P,0.6716,1.601,8N,42E,298.12604999999996
LN-47561,2022-09,11,18:24:42,42783,-2,P,-0.8086,1.4094,12S,97W,325.38599999999997
LN-47555,2020-03,9,00:06:45,42772,3,T-,-0.0584,2.7475,11N,179W,348.6036
LN-47549,2020-09,1,01:27:01,42761,8,T-,-0.0567,2.7593,15S,157E,352.33500000000004
LN-47543,2025-02,26,08:28:57,42749,13,P,-0.8390000000000001,1.3447,14N,55E,317.094
LN-47537,2020-08,20,15:12:24,42738,18,P,0.6502,1.6467,17S,49W,302.1684
LN-47532,2025-01,15,16:20:59,42729,-15,N,1.3833,0.3666,25N,64W,189.60449999999997
LN-47526,2025-07,11,23:22:55,42717,-10,N,-1.2301,0.5835,25S,174W,204.9447
LN-47525,2020-08,10,07:42:32,42715,28,N,1.3372,0.3831,19S,62E,166.28325
LN-47520,2020-01,4,18:41:51,42706,-5,P,0.6471,1.6977,25N,101W,337.30575
LN-47514,2022-07,1,11:38:36,42695,0,P,-0.5214,1.9086,24S,1E,339.89700000000005
LN-47508,2021-12,25,04:09:24,42683,5,T-,-0.0818,2.7076,23N,116E,344.043
LN-47502,2023-06,20,16:48:26,42672,10,T+,0.2475,2.4344,22S,77W,378.55845
LN-47496,2023-12,14,18:50:51,42661,15,P,-0.7482,1.4702,21N,105W,290.145
LN-47490,2024-06,8,17:26:00,42649,20,Nx,1.0079,1.042,20S,86W,297.4005
LN-47485,2024-11,3,22:09:20,42640,-13,N,1.3261,0.4307,12N,157W,183.90375
LN-47484,2022-12,3,10:17:51,42638,25,N,-1.4183,0.2489,18N,22E,138.09045000000003
LN-47479,2025-04,29,10:05:09,42629,-8,P,-0.9651,1.0866,10S,25E,278.63984999999997
LN-47473,2023-10,24,06:14:49,42617,-3,P,0.6897,1.6272,7N,82E,337.4094
LN-47467,2024-04,18,23:42:07,42606,2,T-,-0.1721,2.5186,5S,178W,331.91595000000007
LN-47461,2023-10,13,07:19:54,42595,7,T+,0.0117,2.8886,2N,66E,392.3439
LN-47455,2021-04,8,16:45:03,42583,12,P,0.5632,1.7961,0S,72W,306.41805
LN-47449,2020-10,2,06:46:28,42572,17,P,-0.6687,1.6742,3S,75E,348.6036
LN-47444,2024-02,27,22:29:12,42563,-16,N,-1.3223,0.4376,13N,155W,189.29354999999998
LN-47443,2020-03,28,08:33:32,42561,22,N,1.3268,0.4117,5N,52E,177.7884
LN-47438,2024-08,21,23:48:31,42551,-11,N,1.4147,0.2582,16S,179W,143.48025
LN-47437,2023-09,20,11:50:44,42550,27,N,-1.3239,0.4437,9S,0E,191.78114999999997
LN-47432,2025-02,16,04:38:33,42540,-6,P,-0.6306,1.7353,17N,112E,349.8474
LN-47426,2023-08,11,14:53:28,42529,-1,P,0.6763,1.5945,19S,46W,296.9859
LN-47420,2024-02,5,04:54:28,42518,4,T+,0.0867,2.7439999999999998,20N,108E,390.16724999999997
LN-47414,2020-08,1,07:25:29,42506,9,T-,-0.0307,2.7829,22S,66E,334.40355
LN-47408,2025-01,25,06:14:39,42495,14,P,0.7917,1.4359,23N,87E,324.45315000000005
LN-47402,2024-07,21,20:43:12,42484,19,P,-0.7949,1.4028,24S,134W,305.6925
LN-47397,2022-12,16,02:39:48,42474,-14,N,-1.2799,0.5035,21N,137E,192.2994
LN-47396,2020-01,14,14:18:16,42472,24,N,1.4439,0.212,25N,35W,131.9751
LN-47391,2021-06,10,12:44:28,42463,-9,N,1.225,0.6437,20S,17W,243.29520000000002
LN-47385,2020-12,4,17:59:34,42452,-4,P,-0.6024,1.7382,20N,94W,305.17425000000003
LN-47379,2025-05,30,13:24:50,42440,1,P,0.4638,2.0363,18S,27W,366.2241
LN-47373,2025-11,24,08:46:54,42429,6,T+,0.0631,2.7421,17N,43E,343.11015000000003
LN-47367,2021-05,19,18:37:15,42418,11,T,-0.3234,2.27,16S,105W,352.85325
LN-47361,2023-11,13,18:29:55,42407,16,P,0.7849,1.4464,15N,103W,319.7889
LN-47356,2020-04,9,23:51:09,42397,-17,N,1.4482,0.1738,0N,179W,114.04364999999999
LN-47355,2022-05,9,07:01:55,42395,21,N,-1.0609,0.8909999999999999,13S,69E,245.47185
LN-47350,2025-10,4,01:41:02,42386,-12,N,-1.5403,0.0834,3S,151E,93.31365
LN-47349,2024-11,2,20:54:20,42384,26,N,1.5071,0.1439,11N,140W,121.29915
LN-47344,2021-03,29,16:57:59,42375,-7,P,0.7348,1.4845,4N,75W,291.49245
LN-47338,2021-09,22,02:14:17,42363,-2,P,-0.8286,1.3730000000000002,7S,143E,321.65459999999996
LN-47332,2023-03,19,07:33:04,42352,3,T+,0.0014,2.8523,7N,67E,350.0547
LN-47326,2020-09,11,09:33:07,42341,8,T-,-0.0825,2.7118,11S,34E,350.98755
LN-47320,2025-03,8,15:36:35,42329,13,P,-0.7844,1.4448,10N,54W,325.90425000000005
LN-47314,2023-08,31,23:25:39,42318,18,P,0.6173,1.7079,14S,175W,305.0706
LN-47309,2024-01,26,23:50:13,42309,-15,N,1.4112,0.313,23N,177W,175.61174999999997
LN-47308,2025-02,25,16:58:50,42307,23,N,-1.5387,0.0766,14N,74W,89.064
LN-47303,2024-07,23,06:58:47,42298,-10,N,-1.2890000000000001,0.4781,25S,71E,188.15339999999998
LN-47302,2024-08,21,15:46:39,42296,28,N,1.301,0.4516,17S,60W,179.75775
LN-47297,2025-01,16,02:41:44,42286,-5,P,0.6634,1.6647,24N,139E,333.78165
LN-47291,2025-07,11,18:42:29,42275,0,P,-0.5909,1.7842,24S,106W,335.64734999999996
LN-47285,2025-01,4,12:39:16,42264,5,T-,-0.0714,2.7242,24N,12W,342.79920000000004
LN-47279,2020-06,30,23:20:30,42253,10,T+,0.1688,2.5808,23S,176W,382.28985
LN-47273,2024-12,25,03:35:55,42241,15,P,-0.7416,1.4812,23N,123E,290.5596
LN-47267,2024-06,19,23:49:58,42230,20,P,0.9244,1.1955,22S,176E,313.05165
LN-47262,2021-11,15,06:49:40,42221,-13,N,1.3286,0.4277,16N,71E,184.00739999999996
LN-47261,2022-12,14,19:02:39,42219,25,N,-1.419,0.2479,21N,110W,138.09045000000003
LN-47256,2021-05,10,17:02:58,42209,-8,N,-1.0379,0.9509,13S,82W,263.196
LN-47250,2023-11,4,14:29:35,42198,-3,P,0.6937,1.6219,11N,44W,338.23859999999996
LN-47244,2023-04,29,07:03:25,42187,2,T-,-0.2443,2.3847,9S,69E,328.80645000000004
LN-47238,2025-10,23,15:15:07,42176,7,T+,0.0191,2.8762,6N,55W,392.7585
LN-47232,2022-04,19,00:12:57,42164,12,P,0.4938,1.923,4S,173E,312.01515000000006
LN-47226,2021-10,12,14:44:42,42153,17,P,-0.6569,1.6959,1N,46W,349.2255
LN-47221,2023-03,10,05:55:35,42144,-16,N,-1.3795,0.3329,9N,91E,167.31975
LN-47220,2024-04,8,15:53:11,42142,22,N,1.2656,0.5245,0N,61W,199.24394999999998
LN-47215,2021-09,2,07:53:38,42132,-11,N,1.4396,0.2125,13S,58E,130.42034999999998
LN-47214,2022-10,1,20:06:36,42131,27,N,-1.307,0.4744,4S,126W,197.17095
LN-47209,2024-02,27,11:46:51,42121,-6,P,-0.6838,1.6371,14N,3E,344.56125
LN-47203,2025-08,22,23:01:24,42110,-1,P,0.7127,1.5290000000000001,17S,169W,293.15085
LN-47197,2021-02,16,12:03:43,42099,4,T+,0.0413,2.8253,18N,1W,389.8563
LN-47191,2024-08,11,15:19:00,42087,9,T+,0.0147,2.8147,20S,54W,335.64734999999996
LN-47185,2020-02,4,13:51:25,42076,14,P,0.7567,1.4968,21N,28W,327.459
LN-47179,2022-08,1,04:08:03,42065,19,P,-0.7435,1.5005,23S,113E,314.08815000000004
LN-47174,2020-12,26,11:18:57,42056,-14,N,-1.2838,0.4943,22N,7E,190.12275
LN-47173,2022-01,24,22:28:30,42054,24,N,1.4178,0.2569,24N,158W,144.10215
LN-47168,2022-06,21,19:07:40,42044,-9,N,1.3083,0.4923,22S,114W,216.24255
LN-47167,2021-07,21,10:04:42,42043,29,Nb,-1.5402,0.0632,25S,23E,79.3209
LN-47162,2023-12,16,02:49:50,42033,-4,P,-0.6052,1.7325,22N,133E,304.8633
LN-47156,2021-06,10,19:49:53,42022,1,P,0.5485,1.8804,20S,125W,358.34670000000006
LN-47150,2024-12,5,17:30:53,42011,6,T+,0.0633,2.7428,20N,89W,344.14665
LN-47144,2021-05,30,01:27:55,41999,11,T-,-0.2416,2.4185,19S,150E,354.6153
LN-47138,2023-11,24,02:53:47,41988,16,P,0.7871,1.4438,18N,129E,320.72175000000004
LN-47133,2022-04,20,07:17:34,41979,-17,Ne,1.5145,0.0508,4S,66E,62.21865
LN-47132,2025-05,19,14:16:11,41977,21,P,-0.9823,1.0338,16S,42W,259.56825
LN-47127,2023-10,14,09:30:50,41968,-12,N,-1.5522,0.0625,1N,32E,80.87564999999998
LN-47126,2023-11,13,04:57:17,41966,26,N,1.5051,0.1482,15N,98E,123.26849999999999
LN-47121,2020-04,10,00:29:23,41956,-7,P,0.8025,1.3601,1S,169E,283.61505
LN-47115,2022-10,3,10:12:12,41945,-2,P,-0.8425,1.3473,3S,21E,318.7524
LN-47109,2021-03,30,14:52:26,41934,3,T+,0.0662,2.734,3N,46W,351.0912
LN-47103,2025-09,22,17:48:39,41923,8,T-,-0.1013,2.6772,7S,92W,349.64009999999996
LN-47097,2021-03,18,22:34:42,41912,13,P,-0.7225,1.5582,6N,161W,334.81815000000006
LN-47091,2025-09,11,07:47:16,41900,18,P,0.5909,1.7571,10S,58E,307.24725
LN-47086,2023-02,6,07:10:16,41891,-15,N,1.4468,0.2451,21N,72E,156.0219
LN-47085,2020-03,7,23:49:11,41889,23,N,-1.48,0.1827,10N,179W,136.22475
LN-47080,2020-08,2,14:41:37,41880,-10,N,-1.3418,0.384,23S,45W,170.74020000000002
LN-47079,2021-08,31,23:59:26,41878,28,N,1.2719,0.5072,13S,175E,190.0191
LN-47074,2020-01,26,10:32:26,41869,-5,P,0.6883,1.6158,23N,21E,329.22105
LN-47068,2024-07,23,01:53:11,41857,0,P,-0.6539,1.6719,24S,146E,331.19040000000007
LN-47062,2024-01,15,21:02:10,41846,5,T-,-0.054000000000000006,2.7535,23N,138W,341.5554
LN-47056,2020-07,12,05:57:54,41835,10,T+,0.0949,2.7187,24S,84E,385.08840000000004
LN-47050,2024-01,5,12:15:52,41824,15,P,-0.7307,1.5,23N,8W,291.49245
LN-47044,2020-06,30,06:19:06,41813,20,P,0.8438,1.3437,23S,78E,326.00790000000006
LN-47039,2021-11,25,15:30:19,41803,-13,N,1.3302,0.4261,19N,60W,184.31835
LN-47038,2025-12,25,03:43:16,41801,25,N,-1.4172,0.2514,22N,119E,139.33425
LN-47033,2021-05,20,23:59:59,41792,-8,N,-1.1122,0.8128,17S,172E,245.78279999999998
LN-47032,2020-06,19,10:21:59,41790,30,Nb,1.5508,0.0236,21S,16E,46.67115
LN-47027,2025-11,14,22:46:49,41781,-3,P,0.6948,1.6213,15N,170W,339.37874999999997
LN-47021,2022-05,10,14:23:15,41770,2,T,-0.3182,2.2477,13S,44W,324.9714
LN-47015,2022-11,3,23:14:11,41758,7,T+,0.0233,2.8692,10N,177W,393.1731
LN-47009,2024-04,30,07:38:52,41747,12,T,0.4228,2.0532,8S,59E,317.094
LN-47003,2024-10,23,22:49:56,41736,17,P,-0.6499,1.7085,5N,170W,349.12185
LN-46998,2021-03,20,13:14:07,41727,-16,N,-1.442,0.2186,5N,22W,137.46855
LN-46997,2020-04,18,23:07:28,41725,22,N,1.2007,0.6444,4S,172W,219.0411
LN-46992,2025-09,12,16:07:11,41716,-11,N,1.4587,0.1777,9S,68W,119.22614999999999
LN-46991,2022-10,12,04:29:49,41714,27,N,-1.2952,0.4956,0N,106E,200.3841
LN-46986,2022-03,9,18:46:06,41704,-6,P,-0.7436,1.5267,10N,104W,337.72034999999994
LN-46980,2023-09,2,07:17:36,41693,-1,P,0.7422,1.4761,13S,65E,289.83405
LN-46974,2024-02,26,19:03:40,41682,4,T-,-0.012,2.8769,14N,107W,389.13075000000003
LN-46968,2021-08,22,23:21:06,41671,9,T+,0.0523,2.7484,17S,176W,336.68385
LN-46962,2022-02,15,21:20:35,41660,14,P,0.7146,1.5707,18N,141W,330.9831
LN-46956,2020-08,12,11:39:35,41648,19,P,-0.6985,1.5865,21S,1W,321.34365
LN-46951,2024-01,6,19:52:12,41639,-14,N,-1.2929,0.4754,23N,122W,186.2877
LN-46950,2021-02,5,06:31:39,41637,24,N,1.3853,0.3134,22N,80E,157.6803
LN-46945,2022-07,2,01:36:07,41628,-9,N,1.3864,0.3506,22S,148E,185.25119999999998
LN-46944,2022-07,31,17:01:15,41626,29,N,-1.4851,0.1672,23S,82W,128.34735
LN-46939,2024-12,26,11:34:15,41617,-4,P,-0.6131,1.7172,23N,1E,304.2414
LN-46933,2020-06,21,02:19:43,41606,1,P,0.6299,1.7308,22S,136E,349.53645
LN-46927,2024-12,16,02:10:11,41594,6,T+,0.06,2.7493,22N,140E,345.18315000000007
LN-46921,2024-06,10,08:23:06,41583,11,T-,-0.1621,2.563,21S,45E,355.4445
LN-46915,2025-12,5,11:14:06,41572,16,P,0.7871,1.4449,21N,3E,321.96555
LN-46909,2023-05,30,21:32:54,41561,21,P,-0.905,1.1746,19S,153W,271.6953
LN-46904,2022-10,25,17:27:27,41552,-12,N,-1.5586,0.0513,6N,90W,73.3092
LN-46903,2023-11,24,13:01:07,41550,26,N,1.5041,0.1506,19N,25W,124.30499999999999
LN-46898,2022-04,20,07:54:23,41540,-7,P,0.8751,1.2271,5S,55E,274.07925
LN-46892,2025-10,13,18:19:09,41529,-2,P,-0.85,1.3333,2N,103W,316.67940000000004
LN-46886,2025-04,9,22:02:55,41518,3,T+,0.1373,2.6041,1S,156W,351.40215
LN-46880,2022-10,3,02:13:16,41507,8,T-,-0.1137,2.6543,2S,139E,348.3963
LN-46874,2021-03,30,05:23:07,41496,13,P,-0.6532,1.6855,2N,94E,343.93935
LN-46868,2022-09,22,16:17:48,41485,18,P,0.5716,1.7934,6S,72W,308.69835
LN-46863,2023-02,17,14:23:07,41475,-15,N,1.4885,0.1659,18N,37W,128.8656
LN-46862,2020-03,19,06:32:35,41473,23,N,-1.415,0.3002,6N,78E,172.6059
LN-46857,2024-08,13,22:30:16,41464,-10,N,-1.3894,0.2995,21S,164W,152.60145
LN-46856,2024-09,12,08:18:41,41462,28,N,1.2484,0.5526,9S,48E,197.8965
LN-46851,2024-02,6,18:18:04,41453,-5,P,0.7184,1.5572,21N,97W,323.9349
LN-46845,2022-08,2,09:09:00,41442,0,P,-0.7119,1.5687,22S,36E,326.52615000000003
LN-46839,2025-01,26,05:18:27,41431,5,T-,-0.0306,2.7937,22N,97E,340.3116
LN-46833,2021-07,22,12:41:32,41420,10,T+,0.0264,2.8467,23S,18W,386.85045
LN-46827,2020-01,15,20:48:49,41408,15,P,-0.7139,1.5295,23N,137W,293.15085
LN-46821,2023-07,11,12:57:00,41397,20,P,0.7696,1.4804,23S,23W,336.47655
LN-46816,2025-12,7,00:06:45,41388,-13,N,1.3349,0.4185,22N,169E,183.38549999999998
LN-46815,2024-01,5,12:16:15,41386,25,N,-1.4098,0.265,22N,10W,143.16929999999996
LN-46810,2020-06,1,07:02:08,41377,-8,N,-1.1832,0.6809,20S,64E,227.02214999999998
LN-46809,2025-06,30,17:19:23,41375,30,N,1.4759,0.1602,22S,89W,119.74439999999998
LN-46804,2024-11,26,07:02:14,41366,-3,P,0.6971,1.6183,19N,65E,340.3116
LN-46798,2020-05,20,21:43:09,41355,2,T,-0.3928,2.1101,16S,156W,320.4108
LN-46792,2020-11,14,07:15:24,41343,7,T+,0.0259,2.8649,14N,61E,393.27675
LN-46786,2021-05,10,15:01:12,41332,12,T,0.3488,2.1895,12S,55W,321.65459999999996
LN-46780,2020-11,3,06:59:54,41321,17,P,-0.6459999999999999,1.7149,10N,65E,348.6036
LN-46775,2025-03,31,20:21:55,41312,-16,Ne,-1.5119,0.0908,1N,132W,89.99685
LN-46774,2020-04,30,06:15:29,41310,22,N,1.1312,0.7731,8S,78E,237.6981
LN-46769,2022-09,24,00:31:09,41301,-11,N,1.4703,0.1564,5S,164E,111.76335
LN-46768,2024-10,23,13:00:22,41299,27,N,-1.2883,0.5075,5N,24W,201.8352
LN-46763,2021-03,21,01:35:12,41290,-6,P,-0.8109,1.4029,6N,151E,329.01374999999996
LN-46757,2025-09,13,15:41:55,41278,-1,P,0.7653,1.435,9S,63W,287.2428
LN-46751,2025-03,9,01:55:13,41267,4,T-,-0.0724,2.7637,11N,147E,387.7833
LN-46745,2023-09,2,07:30:28,41256,9,T+,0.0832,2.6943,14S,60E,337.61670000000004
LN-46739,2025-02,26,04:41:16,41245,14,P,0.6646,1.6591,15N,106E,334.92179999999996
LN-46733,2020-08,22,19:18:32,41234,19,P,-0.6603,1.66,18S,117W,327.459
LN-46728,2022-01,17,04:19:46,41225,-14,N,-1.3073,0.4466,22N,110E,180.58695
LN-46727,2021-02,15,14:27:35,41223,24,N,1.3462,0.382,19N,40W,172.19129999999998
LN-46722,2025-07,13,08:10:29,41214,-9,N,1.4594,0.2183,23S,48E,148.1445
LN-46721,2024-08,12,00:05:28,41212,29,N,-1.4359,0.2602,21S,171E,159.23505
LN-46716,2020-01,6,20:13:25,41202,-4,P,-0.6255,1.6936,23N,129W,303.10125
LN-46710,2022-07,2,08:56:57,41191,1,P,0.7058,1.5914,23S,36E,340.10429999999997
LN-46704,2022-12,27,10:45:26,41180,6,T+,0.054000000000000006,2.7608,24N,11E,346.21965
LN-46698,2022-06,20,15:22:56,41169,11,T-,-0.0855,2.7026,23S,62W,355.34085
LN-46692,2022-12,15,19:31:04,41158,16,P,0.7851,1.4493,23N,122W,323.313
LN-46686,2023-06,10,04:52:44,41147,21,P,-0.8297,1.3122,22S,95E,281.95665
LN-46681,2023-11,5,01:26:57,41138,-12,N,-1.5629,0.0436,10N,148E,67.60844999999999
LN-46680,2021-12,4,21:01:40,41136,26,N,1.5007,0.1569,22N,146W,126.99989999999998
LN-46675,2024-05,1,15:16:31,41126,-7,P,0.9497,1.0906,9S,58W,262.88505
LN-46674,2020-05,30,21:59:04,41125,31,Nb,-1.5341,0.013000000000000001,20S,162W,31.434599999999996
